InfoProvider;Categoria de Registro;Requisição BW;ID de sistema fonte;Data da última modificação;Nº Contrato;Empresa (Código);Empresa;Catalogo (Codigo);Catalogo;Nº Item do Contrato Superior;Data de Criação;Código de Eliminação;Descrição da Nota de QM;Categoria do Documento de Compras (Código);Categoria do Documento de Compras;Data do documento de compra;Item do Documento de Compras;Nº Documento de Material;Nº Pedido;Documento de Referência;Ano do documento de material;Etapa de Avaliação de Desempenho (Código);Etapa de Avaliação de Desempenho;Frente do Aprovador;Frente do Avaliador;Frequência de Avaliação (Código);Frequência de Avaliação;GUID Avaliação Final;GUID Avaliação Macro;Avaliação;Incoterms (Código);Incoterms;Item do Documento de Material;Item do Documento de Referência;Macrocategoria;Material (Código);Material;Família de Material (Código);Grupo de Mercadorias da Família (Código);Grupo de Mercadorias da Família;Tipo de Material da Família (Código);Tipo de Material da Família;Família de Material;Grupo de Material (Código);Grupo de Material;Motivo (Código);Motivo;Nota de QM;Nota de QM (Desc2);Organização de Compras (Código);Organização de Compras;Grupo de Códigos (Código);Grupo de Códigos;Segmento (Código);Segmento;Tipo de Configuração (Código);Tipo de Configuração;Cód.domicílio fiscal;Denominação Breve do Material;Aprovador;Nome do Aprovador;Avaliador;Nome do Avaliador;Fim do Prazo;Início do Prazo;Fornecedor (Código);Data de Validade CRCC;Indicador Corporativo;Número do CRCC;Fornecedor;Moeda (Código);Moeda;Moeda Valor;Contador BW;Contador para Documentos;Nota Final;Nota Macrocriterio;Nota Rev Macrocriterio;Peso Macrocriterio;Valor Bruto;Macrocritério
PBAMM008;0;00000000000000000000000;PB;05/07/2018;;1000;Petróleo Brasileiro S.A.;;;00000;05/07/2018;;;F;;04/07/2018;000010;5000061433;4500044915;4500044915;2018;05;;;;;;0A246B147FC51ED8A08E4A6EBB3785BA;0A246B147FC51ED8A08E4A6EBB5E45BA;0000002843;CIF;Custo, seguro & frete;000001;000010;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003318;00000000;;;APROP MACAE COMERCIAL E TECNICA;BRL;;BRL;1;1;4,570000172;1;1;4;472,38;PRAZO
PBAMM008;0;00000000000000000000000;PB;25/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;25/08/2018;;;F;;01/08/2018;000010;5000061791;4500045203;4500045203;2018;05;;;;;;0A246B147FC51ED8AA94CB6038D50DEC;0A246B147FC51ED8AA94CB6039084DEC;0000003084;CIF;Custo, seguro & frete;000001;000010;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003318;00000000;;;APROP MACAE COMERCIAL E TECNICA;BRL;;BRL;1;1;4,570000172;1;1;4;25012022,85;PRAZO
PBAMM008;0;00000000000000000000000;PB;25/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;25/08/2018;X;;F;;01/08/2018;000010;5000061789;4500045203;4500045203;2018;05;;;;;;0A246B147FC51ED8AA942427A443CE35;0A246B147FC51ED8AA942427A46BCE35;0000003081;CIF;Custo, seguro & frete;000001;000010;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003318;00000000;;;APROP MACAE COMERCIAL E TECNICA;BRL;;BRL;1;1;4,570000172;1;1;4;25012022,85;PRAZO
PBAMM008;0;00000000000000000000000;PB;15/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;15/08/2018;;;F;;19/07/2018;000010;;4500045021;4500045021;0000;08;;;;;;0A246B147FC51ED8A8974E92E24D4C9C;0A246B147FC51ED798B6C1CBB399CB72;0000003011;DDP;Entregue desalfandegado;000000;000010;004;000000000010011700;Tubo AC A106-B c/c API 5L;000000000098000121;;;;;;40142101;TUBO COND.ACO CARBON;;;;;0020;MM-MATERIAIS;;;ESTR;Estratégico;;;RJ;TUBO AC A106 B C C API 5L;;;;;31/12/2018;18/07/2018;0010025995;00000000;;;V & M DO BRASIL S. A.;BRL;;BRL;1;1;1;1;1;1;1313,81;SMS
PBAMM008;0;00000000000000000000000;PB;25/07/2018;;1000;Petróleo Brasileiro S.A.;;;00000;25/07/2018;;;F;;25/07/2018;000010;5000061548;4500045047;4500045047;2018;05;;;;;;0A246B147FC51ED8A482F0DED6EF485F;0A246B147FC51ED8A482F0DED71D885F;0000002898;DDP;Entregue desalfandegado;000001;000010;000;000000000010000003;Daktarin compr. 0,75mg;;;;;;;44101502A;PARTE APARELHO FAX;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;MANÔMETRO DIF.VIDRO 0A4M3 SEG.;;;;;;;0010000190;00000000;X;0000000000;BOXFILE IMPORTACAO E EXPORTACAO;BRL;;BRL;1;1;6;6;6;4;-1150000;PRAZO
PBAMM008;0;00000000000000000000000;PB;21/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;21/08/2018;;;F;;17/08/2018;000030;5000061682;4500045147;4500045147;2018;05;;;;;;0A246B147FC51ED8A9AEFC1BA9188C83;0A246B147FC51ED8A9AEFC1BA9458C83;0000003021;CIF;Custo, seguro & frete;000001;000030;000;000000000010002412;Flange encaixe p/tubo ASME B16.5 FP 150L;;;;;;;40142409C;FL ENC N/METAL P/TUB;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;FLANGE ENCAIXE P TUBO ASME B16.5 FP 150L;;;;;25/06/2017;26/05/2017;0010003770;00000000;X;;BRASCORDA S.A.;BRL;;BRL;1;1;6;6;6;4;30000;PRAZO
PBAMM008;0;00000000000000000000000;PB;13/12/2018;;;;;;00000;13/12/2018;;;;;;000010;5000062569;4500045995;4500045995;2018;05;;;;;;0A246B147FC51ED8BFDAA6D76425C71D;0A246B147FC51ED8BFDAA6D7647C071D;0000009319;;;000001;000010;000;;;;;;;;;;;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;;;;;;;;0010119348;00000000;;;TESTE TAFS VALMIR CORP PS;BRL;;BRL;1;0;6;6;6;10;132230;QUALIDADE
PBAMM008;0;00000000000000000000000;PB;02/01/2019;;;;;;00000;02/01/2019;X;;;;;000010;5000062823;4500046133;4500046133;2019;05;;;;;;0A246B147FC51ED983D693B3769CCE1C;0A246B147FC51ED983D693B376C88E1C;0000009350;;;000001;000010;000;;;;;;;;;;;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;;;;;;;;0010025221;00000000;X;0000000000;CHEMTECH SERVICOS DE ENGENHARIA E;BRL;;BRL;1;1;6;6;6;4;559190;PRAZO
PBAMM008;0;00000000000000000000000;PB;25/07/2018;;1000;Petróleo Brasileiro S.A.;;;00000;25/07/2018;;;F;;25/07/2018;000010;5000061549;4500045053;4500045053;2018;05;;;;;;0A246B147FC51ED8A487ACCADFF348C1;0A246B147FC51ED8A487ACCAE02A48C1;0000002899;DDP;Entregue desalfandegado;000001;000010;000;000000000010000003;Daktarin compr. 0,75mg;;;;;;;44101502A;PARTE APARELHO FAX;;;;;0020;MM-MATERIAIS;;;;;B;;RJ;MANÔMETRO DIF.VIDRO 0A4M3 SEG.;;;;;;;0010000190;00000000;X;0000000000;BOXFILE IMPORTACAO E EXPORTACAO;BRL;;BRL;1;1;6;6;6;4;2300000;PRAZO
PBAMM008;0;00000000000000000000000;PB;23/08/2018;;1000;Petróleo Brasileiro S.A.;;;00000;23/08/2018;;;F;;10/03/2018;000010;5000061717;4500045181;4500045181;2018;05;;;;;;0A246B147FC51ED8A9DB76470BF28D98;0A246B147FC51ED8A9DB76470C428D98;0000003038;CIP;Seguro com frete pago;000001;000010;000;000000000010000030;Tubo AC 5L-X46 s/c NBR 5580;;;;;;;41112901A;PARTES DE BUSSOLA;;;;;1050;MM-AB-UN-REDUC;;;;;B;;RJ;TUBO AC 5L B PSL 2 S C 1 2  SCH160;;;;;;;0010000190;00000000;X;0000000000;BOXFILE IMPORTACAO E EXPORTACAO;BRL;;BRL;1;0;6;6;6;10;23259;QUALIDADE
